* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_R.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_R.wav
* Measurement: captured_sweep_R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
299.560547 65.805 26.9730
299.926758 65.632 27.6857
300.292969 65.545 28.5723
300.659180 65.529 29.1411
301.025391 65.517 29.1914
301.391602 65.446 28.9346
301.757812 65.302 28.8091
302.124023 65.125 29.1752
302.490234 64.986 30.0614
302.856445 64.933 31.1252
303.222656 64.953 31.9136
303.588867 64.990 32.2129
303.955078 64.984 32.1730
304.321289 64.916 32.1572
304.687500 64.812 32.4889
305.053711 64.724 33.2450
305.419922 64.691 34.2172
305.786133 64.712 35.0923
306.152344 64.750 35.7103
306.518555 64.769 36.1693
306.884766 64.759 36.7109
307.250977 64.749 37.5035
307.617188 64.776 38.4888
307.983398 64.853 39.4194
308.349609 64.958 40.0739
308.715820 65.053 40.4430
309.082031 65.117 40.7191
309.448242 65.164 41.1104
309.814453 65.229 41.6372
310.180664 65.336 42.0886
310.546875 65.466 42.2018
310.913086 65.574 41.9148
311.279297 65.622 41.4507
311.645508 65.613 41.1735
312.011719 65.594 41.3212
312.377930 65.629 41.7910
312.744141 65.745 42.1741
313.110352 65.909 42.0759
313.476562 66.055 41.4255
313.842773 66.136 40.4932
314.208984 66.151 39.6663
314.575195 66.139 39.1818
314.941406 66.147 38.9850
315.307617 66.193 38.8223
315.673828 66.253 38.5044
316.040039 66.293 38.0870
316.406250 66.305 37.8058
316.772461 66.321 37.8413
317.138672 66.388 38.1104
317.504883 66.526 38.2773
317.871094 66.707 38.0038
318.237305 66.874 37.2004
318.603516 66.983 36.0570
318.969727 67.022 34.8844
319.335938 67.012 33.9266
319.702148 66.989 33.2504
320.068359 66.981 32.7556
320.434570 66.996 32.2784
320.800781 67.023 31.6963
321.166992 67.047 30.9672
321.533203 67.052 30.1204
