* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_L.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_L.wav
* Measurement: captured_sweep_L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
156.005859 60.435 -4.6736
156.372070 60.589 -6.4303
156.738281 60.565 -8.2374
157.104492 60.416 -9.2938
157.470703 60.270 -9.3015
157.836914 60.245 -8.7233
158.203125 60.348 -8.4260
158.569336 60.476 -8.8810
158.935547 60.519 -9.7753
159.301758 60.450 -10.3015
159.667969 60.361 -9.7725
160.034180 60.408 -8.2743
160.400391 60.682 -6.8342
160.766602 61.103 -6.5947
161.132812 61.489 -7.8435
161.499023 61.695 -9.9607
161.865234 61.680 -11.9193
162.231445 61.514 -12.7822
162.597656 61.352 -12.1769
162.963867 61.347 -10.6362
163.330078 61.529 -9.2771
163.696289 61.794 -8.8737
164.062500 62.009 -9.3776
164.428711 62.110 -10.2241
164.794922 62.112 -10.8452
165.161133 62.079 -11.0027
165.527344 62.070 -10.8374
165.893555 62.097 -10.6445
166.259766 62.146 -10.6005
166.625977 62.199 -10.7155
166.992188 62.259 -10.9935
167.358398 62.321 -11.5449
167.724609 62.355 -12.4758
168.090820 62.308 -13.6526
168.457031 62.150 -14.5913
168.823242 61.916 -14.6219
169.189453 61.736 -13.3552
169.555664 61.769 -11.2517
169.921875 62.063 -9.5703
170.288086 62.497 -9.3588
170.654297 62.883 -10.6677
171.020508 63.101 -12.7532
171.386719 63.137 -14.6471
171.752930 63.075 -15.6326
172.119141 63.043 -15.6049
172.485352 63.135 -15.1379
172.851562 63.335 -15.0123
173.217773 63.550 -15.5746
173.583984 63.692 -16.5807
173.950195 63.739 -17.5072
174.316406 63.733 -17.9546
174.682617 63.744 -17.9043
175.048828 63.810 -17.6885
175.415039 63.915 -17.6678
175.781250 64.008 -17.9141
176.147461 64.061 -18.1942
176.513672 64.094 -18.2283
176.879883 64.163 -17.9976
177.246094 64.303 -17.8439
177.612305 64.491 -18.2185
177.978516 64.650 -19.2854
178.344727 64.709 -20.7545
178.710938 64.645 -22.0310
179.077148 64.512 -22.5450
179.443359 64.419 -22.1423
179.809570 64.461 -21.3020
180.175781 64.639 -20.8326
180.541992 64.860 -21.2114
180.908203 65.016 -22.2681
181.274414 65.061 -23.4132
181.640625 65.031 -24.0739
182.006836 65.010 -24.0746
182.373047 65.067 -23.7621
182.739258 65.198 -23.6984
183.105469 65.332 -24.1603
183.471680 65.398 -24.9446
183.837891 65.378 -25.5796
184.204102 65.318 -25.6941
