* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
170.288086 52.159 75.7078
170.654297 53.914 73.3459
171.020508 54.999 67.4224
171.386719 55.420 61.2200
171.752930 55.360 57.0500
172.119141 55.170 56.1892
172.485352 55.280 57.7131
172.851562 55.807 58.5752
173.217773 56.435 56.7212
173.583984 56.796 52.6089
173.950195 56.721 47.9539
174.316406 56.238 44.6448
174.682617 55.563 44.1089
175.048828 55.042 46.3293
175.415039 54.883 49.3726
175.781250 54.953 51.2925
176.147461 54.999 52.0745
176.513672 54.951 52.9255
176.879883 54.958 54.5671
177.246094 55.184 56.2351
177.612305 55.585 56.4636
177.978516 55.933 54.8054
178.344727 56.044 52.2083
178.710938 55.902 50.2307
179.077148 55.684 50.0715
179.443359 55.671 51.4839
179.809570 55.983 52.6030
180.175781 56.428 51.8127
180.541992 56.713 49.2622
180.908203 56.675 46.3992
181.274414 56.347 45.0300
181.640625 55.974 46.4163
182.006836 55.913 50.0039
182.373047 56.297 53.2883
182.739258 56.879 54.3445
183.105469 57.346 53.4060
183.471680 57.566 51.8628
183.837891 57.600 51.0349
184.204102 57.628 51.4197
184.570312 57.817 52.3379
184.936523 58.174 52.5056
185.302734 58.551 51.2073
185.668945 58.787 48.7253
186.035156 58.806 45.9346
186.401367 58.636 43.7979
186.767578 58.391 42.9717
187.133789 58.229 43.4602
187.500000 58.264 44.5347
187.866211 58.489 45.2385
188.232422 58.809 45.0581
188.598633 59.131 44.0598
188.964844 59.406 42.5713
189.331055 59.626 40.8716
189.697266 59.793 39.0999
190.063477 59.900 37.3464
190.429688 59.932 35.7917
190.795898 59.894 34.7424
191.162109 59.833 34.4888
191.528320 59.831 35.0261
191.894531 59.957 35.8701
192.260742 60.202 36.2761
192.626953 60.480 35.7671
192.993164 60.682 34.4290
193.359375 60.750 32.7683
193.725586 60.697 31.3682
194.091797 60.594 30.5464
194.458008 60.522 30.1533
194.824219 60.510 29.7002
195.190430 60.513 28.7986
195.556641 60.463 27.5093
195.922852 60.326 26.2952
196.289062 60.145 25.6738
196.655273 60.019 25.7942
197.021484 60.034 26.2178
197.387695 60.188 26.2212
197.753906 60.395 25.4019
198.120117 60.561 23.9392
198.486328 60.644 22.3623
198.852539 60.670 21.1580
199.218750 60.701 20.4824
199.584961 60.777 20.1338
199.951172 60.892 19.8208
200.317383 61.004 19.4841
200.683594 61.090 19.3521
201.049805 61.177 19.6892
201.416016 61.329 20.4556
201.782227 61.588 21.1870
202.148438 61.926 21.2852
202.514648 62.256 20.4539
202.880859 62.491 18.8455
203.247070 62.581 16.8970
203.613281 62.526 15.0959
203.979492 62.364 13.8174
204.345703 62.153 13.2537
204.711914 61.954 13.4084
205.078125 61.829 14.1069
205.444336 61.821 14.9795
205.810547 61.940 15.5017
206.176758 62.139 15.1931
206.542969 62.329 13.8916
206.909180 62.424 11.8801
207.275391 62.385 9.7834
207.641602 62.244 8.3079
208.007812 62.108 7.8608
208.374023 62.106 8.1787
208.740234 62.288 8.3835
209.106445 62.579 7.6624
209.472656 62.842 5.8762
209.838867 62.974 3.5173
210.205078 62.950 1.3108
210.571289 62.816 -0.1548
210.937500 62.654 -0.6575
211.303711 62.538 -0.3721
211.669922 62.497 0.3474
212.036133 62.527 1.2261
212.402344 62.622 2.1047
212.768555 62.780 2.7939
213.134766 62.982 3.0339
213.500977 63.178 2.6702
213.867188 63.309 1.8345
214.233398 63.351 0.9082
214.599609 63.333 0.2759
214.965820 63.321 0.0281
215.332031 63.362 -0.1409
215.698242 63.445 -0.6689
216.064453 63.502 -1.6987
216.430664 63.475 -2.9138
216.796875 63.366 -3.7542
217.163086 63.252 -3.8286
217.529297 63.233 -3.2883
217.895508 63.357 -2.7942
218.261719 63.569 -2.9712
218.627930 63.767 -3.9075
218.994141 63.884 -5.1841
219.360352 63.924 -6.2561
219.726562 63.948 -6.8386
220.092773 64.021 -7.0933
220.458984 64.157 -7.4624
220.825195 64.307 -8.2644
221.191406 64.405 -9.4343
221.557617 64.415 -10.5957
221.923828 64.357 -11.3303
222.290039 64.294 -11.4595
222.656250 64.288 -11.1799
223.022461 64.355 -10.9238
223.388672 64.455 -11.0151
223.754883 64.533 -11.4373
224.121094 64.560 -11.8933
224.487305 64.562 -12.0652
224.853516 64.595 -11.8923
